City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,2.98,95,36,2.23,CL,1700181613
1,waitangi,-43.9535,-176.5597,13.58,97,100,9.72,NZ,1700181615
2,anadyr,64.75,177.4833,-17.72,70,0,4.0,RU,1700181652
3,iqaluit,63.7506,-68.5145,-1.15,86,75,12.35,CA,1700181606
4,kingston,17.997,-76.7936,25.53,91,75,5.14,JM,1700181585
5,iquique,-20.2208,-70.1431,19.02,79,61,1.52,CL,1700181797
6,georgetown,5.4112,100.3354,28.3,92,20,0.0,MY,1700181414
7,papatowai,-46.5619,169.4708,8.17,90,100,4.57,NZ,1700181604
8,adamstown,-25.066,-130.1015,20.95,85,100,3.63,PN,1700181603
9,saint-joseph,-21.3667,55.6167,22.21,90,89,4.95,RE,1700181799
10,toppenish,46.3774,-120.3087,8.61,41,20,1.92,US,1700181801
11,bethel,41.3712,-73.414,12.02,64,0,0.45,US,1700181613
12,ketou,7.3633,2.5998,23.78,90,19,0.9,BJ,1700181802
13,cestos city,5.46,-9.5828,25.93,85,6,2.25,LR,1700181802
14,mount isa,-20.7333,139.5,32.87,31,0,8.23,AU,1700181749
15,fang,19.9169,99.2145,19.31,97,100,1.29,TH,1700181803
16,edinburgh of the seven seas,-37.0676,-12.3116,13.96,73,100,8.14,SH,1700181602
17,bilibino,68.0546,166.4372,-21.12,100,100,0.12,RU,1700181612
18,grytviken,-54.2811,-36.5092,0.65,89,100,5.15,GS,1700181606
19,margaret river,-33.95,115.0667,19.53,46,0,3.32,AU,1700181608
20,itaueira,-7.6033,-43.0256,28.21,49,76,0.79,BR,1700181804
21,huaihua,27.5494,109.9592,12.04,80,14,0.58,CN,1700181805
22,newnham,-41.3833,147.1333,15.93,44,0,4.12,AU,1700181805
23,jingzhou,30.3503,112.1903,11.48,77,87,2.19,CN,1700181806
24,entebbe,0.0644,32.4469,20.18,94,100,1.03,UG,1700181806
25,tiksi,71.6872,128.8694,-23.28,99,100,3.59,RU,1700181622
26,blackmans bay,-43.0167,147.3167,18.74,50,6,1.79,AU,1700181606
27,swan hill,-35.3378,143.5544,21.86,24,0,4.87,AU,1700181807
28,isafjordur,66.0755,-23.124,1.72,74,100,1.3,IS,1700181608
29,kodiak,57.79,-152.4072,1.73,48,75,8.75,US,1700181695
30,kayenta,36.7278,-110.2546,13.0,47,30,2.74,US,1700181808
31,hithadhoo,-0.6,73.0833,27.32,81,24,6.28,MV,1700181681
32,fale old settlement,-9.3852,-171.2468,29.68,69,52,2.11,TK,1700181680
33,lanciano,42.2167,14.3882,16.97,62,52,2.49,IT,1700181809
34,port-aux-francais,-49.35,70.2167,4.28,94,100,11.12,TF,1700181608
35,invercargill,-46.4,168.35,9.45,87,100,3.13,NZ,1700181517
36,lebu,-37.6167,-73.65,11.87,97,100,8.33,CL,1700181609
37,stanley,54.868,-1.6985,4.87,94,100,3.16,GB,1700181614
38,ushuaia,-54.8,-68.3,7.81,66,100,1.54,AR,1700181660
39,hermanus,-34.4187,19.2345,17.64,84,100,1.67,ZA,1700181646
40,albany,42.6001,-73.9662,8.74,74,100,0.45,US,1700181658
41,holualoa,19.6228,-155.9522,25.91,80,40,5.14,US,1700181812
42,tazovsky,67.4667,78.7,-20.32,97,12,3.85,RU,1700181716
43,port mathurin,-19.6833,63.4167,25.08,79,100,7.09,MU,1700181632
44,bredasdorp,-34.5322,20.0403,16.43,85,100,1.35,ZA,1700181634
45,rio grande,-32.035,-52.0986,19.41,76,5,3.56,BR,1700181654
46,mount gambier,-37.8333,140.7667,16.2,51,73,3.11,AU,1700181617
47,brookings,44.3114,-96.7984,3.39,68,0,3.6,US,1700181729
48,urangan,-25.3,152.9,24.94,84,79,10.41,AU,1700181607
49,punta arenas,-53.15,-70.9167,7.06,87,75,3.09,CL,1700181637
50,wailua homesteads,22.0669,-159.378,29.24,70,40,6.17,US,1700181631
51,port elizabeth,-33.918,25.5701,19.16,94,20,2.57,ZA,1700181353
52,port saint john's,-31.6229,29.5448,20.4,79,100,1.71,ZA,1700181688
53,bonthe,7.5264,-12.505,26.44,86,0,1.64,SL,1700181816
54,yellowknife,62.456,-114.3525,-5.33,97,100,7.2,CA,1700181674
55,'ain benian,36.8028,2.9219,13.03,60,7,2.08,DZ,1700181817
56,ribeira grande,38.5167,-28.7,20.99,92,100,9.83,PT,1700181659
57,cabrobo,-8.5142,-39.31,33.05,28,94,3.09,BR,1700181817
58,shanhaiguan,39.9988,119.7564,0.24,28,8,4.56,CN,1700181818
59,karratha,-20.7377,116.8463,28.19,42,0,5.51,AU,1700181733
60,saipan,15.1355,145.701,30.39,79,40,7.72,MP,1700181721
61,newman,37.3138,-121.0208,19.6,76,100,1.01,US,1700181698
62,isangel,-19.55,169.2667,28.06,74,75,2.06,VU,1700181819
63,kayangel,8.0823,134.7173,28.89,80,100,3.47,PW,1700181819
64,thurgoona,-36.0451,146.9919,21.0,93,0,1.34,AU,1700181820
65,prainha,-1.8,-53.48,27.85,55,2,1.76,BR,1700181815
66,cabo san lucas,22.8909,-109.9124,30.61,62,0,3.6,MX,1700181393
67,east london,-33.0153,27.9116,18.94,82,100,2.13,ZA,1700181727
68,konarka,19.9,86.1167,22.22,69,84,4.56,IN,1700181815
69,amahai,-3.3333,128.9167,29.55,67,4,1.22,ID,1700181821
70,manismata,-2.4667,111.0333,28.5,77,99,1.38,ID,1700181822
71,lowestoft,52.4752,1.7516,7.5,94,100,2.86,GB,1700181822
72,ust-nera,64.5667,143.2,-25.12,96,100,3.25,RU,1700181649
73,mao,39.8885,4.2658,15.31,100,0,2.57,ES,1700181823
74,laojunmiao,39.8333,97.7333,0.1,16,0,1.14,CN,1700181823
75,bardsir,29.9227,56.5743,10.14,67,88,1.5,IR,1700181823
76,adler,43.43,39.92,8.09,93,20,3.0,RU,1700181824
77,ghadamis,30.1337,9.5007,17.81,40,0,3.31,LY,1700181777
78,puerto baquerizo moreno,-0.9,-89.6,23.12,91,99,5.16,EC,1700181647
79,colonia,50.9333,6.95,7.55,87,0,2.57,DE,1700181634
80,dalandzadgad,43.5708,104.425,-1.13,44,0,1.88,MN,1700181824
81,west island,-12.1568,96.8225,25.99,73,13,3.6,CC,1700181641
82,mogocha,53.7333,119.7667,-12.55,85,77,1.17,RU,1700181825
83,alice springs,-23.7,133.8833,20.75,94,100,2.06,AU,1700181825
84,kimberley,-28.7323,24.7623,17.83,72,100,3.09,ZA,1700181826
85,lensk,60.7253,114.9278,-2.64,90,100,5.26,RU,1700181826
86,sylacauga,33.1732,-86.2516,19.02,72,100,1.54,US,1700181826
87,san patricio,28.017,-97.5169,18.92,78,99,1.62,US,1700181676
88,lihue,21.9789,-159.3672,29.58,61,40,6.17,US,1700181604
89,flying fish cove,-10.4217,105.6791,25.82,88,75,3.6,CX,1700181718
90,sinabang,2.4803,96.3801,25.79,86,100,1.29,ID,1700181711
91,queenstown,-31.8976,26.8753,16.23,68,100,0.73,ZA,1700181610
92,daru,-9.0763,143.2092,29.3,61,9,4.35,PG,1700181782
93,touros,-5.1989,-35.4608,26.26,72,14,5.9,BR,1700181721
94,petropavlovka,50.6114,105.3196,-10.96,93,16,1.16,RU,1700181828
95,katsuura,35.1333,140.3,15.01,81,100,9.44,JP,1700181709
96,kapa'a,22.0752,-159.319,29.99,70,40,6.17,US,1700181617
97,bantogon,6.5333,124.0333,26.45,80,100,1.9,PH,1700181829
98,margate,51.3813,1.3862,7.61,91,100,2.68,GB,1700181628
99,taulaga,-11.0553,-171.0883,29.12,72,20,2.04,AS,1700181829
100,cockburn town,21.4612,-71.1419,28.18,76,100,10.31,TC,1700181764
101,pangody,65.85,74.4859,-17.97,92,100,3.6,RU,1700181830
102,dudinka,69.4058,86.1778,-22.33,99,83,4.78,RU,1700181824
103,punta del este,-34.9667,-54.95,17.15,67,0,1.54,UY,1700181831
104,kitee,62.1,30.15,-6.55,94,43,0.19,FI,1700181831
105,douentza,14.9951,-2.9517,26.88,29,98,1.61,ML,1700181831
106,bel ombre,-4.6167,55.4167,24.91,94,20,1.03,SC,1700181821
107,salinopolis,-0.6136,-47.3561,27.62,77,6,6.25,BR,1700181832
108,vernon,50.2581,-119.2691,2.64,79,15,1.54,CA,1700181761
109,imbituba,-28.24,-48.6703,23.25,99,100,1.11,BR,1700181625
110,chebba,35.2372,11.115,18.83,71,25,4.1,TN,1700181832
111,udachny,66.4167,112.4,-10.86,92,100,3.65,RU,1700181622
112,talnakh,69.4865,88.3972,-21.18,98,85,2.56,RU,1700181667
113,kirkwall,58.9848,-2.9587,5.54,81,100,1.03,GB,1700181833
114,chapaev,50.2,51.1667,5.53,87,100,2.45,KZ,1700181833
115,twon-brass,4.3151,6.2418,27.3,82,57,3.7,NG,1700181834
116,fougamou,-1.2154,10.5838,23.09,99,100,0.53,GA,1700181834
117,aasiaat,68.7098,-52.8699,-13.43,99,93,2.52,GL,1700181715
118,qaqortoq,60.7167,-46.0333,-7.45,74,19,3.42,GL,1700181627
119,satun,6.8333,100.0,25.0,85,99,1.63,TH,1700181835
120,sabang,5.8933,95.3214,27.4,78,100,1.5,ID,1700181655
121,lampang,18.3333,99.5,23.95,78,75,2.57,TH,1700181835
122,trincomalee,8.5711,81.2335,26.16,86,99,2.82,LK,1700181835
123,phan thiet,10.9333,108.1,26.47,79,93,4.21,VN,1700181836
124,tallinn,59.437,24.7535,-1.7,76,40,1.03,EE,1700181787
125,lhokseumawe,5.1801,97.1507,26.81,82,100,0.89,ID,1700181836
